url,release_date,num_files,total_uncompressed_size,num_entries,num_bases,error
https://www.ncbi.nlm.nih.gov/genbank/release/260/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/261/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/262/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/263/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/264/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/265/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/266/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/267/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/268/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/269/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
https://www.ncbi.nlm.nih.gov/genbank/release/270/,,,,,,"missing: release_date,num_files,total_uncompressed_size,num_entries,num_bases"
